"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"6","","0","FysioFit HerhalingsTeller & RitmeAnalyse","0","0","Tempo Validatie","0"
"0","","1","FysioFit HerhalingsTeller & RitmeAnalyse","1","0","Sessie & State","0"
"2","","0","FysioFit HerhalingsTeller & RitmeAnalyse","0","0","Foutafhandeling & Inactiviteit","0"
"0","","0","FysioFit HerhalingsTeller & RitmeAnalyse","3","0","Keypoints","0"
"2","","0","FysioFit HerhalingsTeller & RitmeAnalyse","0","0","Rep Telling","0"
"0","","0","FysioFit HerhalingsTeller & RitmeAnalyse","3","0","Error Endpoint","0"
"2","","0","FysioFit HerhalingsTeller & RitmeAnalyse","0","0","Doelstellingen","0"
"0","","0","FysioFit HerhalingsTeller & RitmeAnalyse","3","0","Calibratie","0"
